feature,mean_abs_shap
REG_CITY_NOT_WORK_CITY,0.00019825537225634843
HOUSETYPE_MODE,0.00011922484195754602
FLAG_CONT_MOBILE,9.643116002301193e-05
LIVE_REGION_NOT_WORK_REGION,8.426355427374568e-05
FLAG_DOCUMENT_21,4.760485607358119e-05
FLAG_DOCUMENT_5,1.4815035573342826e-05
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_4,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
DAYS_EMPLOYED_ANOM,0.0
