risk_band,applicants,defaults,observed_default_rate,mean_predicted_risk,population_share,default_capture
Low,27810,922,0.03315354189140597,0.031127980518300354,0.6029006872330739,0.24758324382384533
Medium,11389,1120,0.09834050399508297,0.10152727068728193,0.2469052832397511,0.3007518796992481
High,6928,1682,0.24278290993071594,0.24505016528652965,0.15019402952717498,0.45166487647690656
