,roc_auc,pr_auc,brier_score,training_seconds,training_rows,risk_bands_monotonic
logistic_regression,0.7589445949209206,0.23782460966704438,0.19946238680302314,16.768547400000898,,
lightgbm_shadow,0.7783165776249594,0.2651997667595672,0.1740637495772442,23.398578199999974,,
ebm,0.7643143789377325,0.25034793756846907,0.06754475348276137,,120000,True
